gene,transcript,transcript_coordinates,type,coordinates
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,SKP1/BTB/POZ domain superfamily,1745-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,SKP1/BTB/POZ domain superfamily,3771-3783
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat-containing domain superfamily,4041-4335
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,BTB/POZ domain,1745-1928
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,BTB/POZ domain,1745-1922
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Regulatory protein NPR,1607-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Regulatory protein NPR,3771-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Regulatory protein NPR,4930-5104
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat,4104-4194
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat,4206-4293
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Regulatory protein NPR,3903-4035
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,NPR1/NIM1-like,4332-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,NPR1/NIM1-like,4930-5104
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat-containing domain superfamily,4020-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat-containing domain superfamily,4930-5026
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Leucine-rich repeat domain superfamily,308-1496
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat-containing domain,4104-4329
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,Ankyrin repeat-containing domain,4050-4287
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,G-patch domain,4547-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,G-patch domain,4991-5086
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,G-patch domain,4565-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,G-patch domain,4991-5080
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,G-patch domain,4553-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,G-patch domain,4991-5092
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,G-patch domain,4547-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,G-patch domain,4991-5086
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,G-patch domain,4553-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,G-patch domain,4991-5092
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,G-patch domain,4565-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.11,33574180-33580974,G-patch domain,4991-5080
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.12,33574180-33580970,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.12,33574180-33580970,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,G-patch domain,4547-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,G-patch domain,4991-5086
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,G-patch domain,4565-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,G-patch domain,4991-5080
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,G-patch domain,4553-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.13,33574180-33580935,G-patch domain,4991-5092
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.14,33574184-33580950,OCRE domain,138-179
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.14,33574184-33580950,OCRE domain,1475-1548
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.15,33574184-33580954,OCRE domain,138-179
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.15,33574184-33580954,OCRE domain,1475-1548
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.16,33574188-33580904,OCRE domain,134-175
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.16,33574188-33580904,OCRE domain,1471-1544
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.2,33574180-33580981,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.2,33574180-33580981,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.3,33574180-33580918,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.3,33574180-33580918,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.4,33574180-33580918,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.4,33574180-33580918,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,OCRE domain,1479-1552
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,OCRE domain,142-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,OCRE domain,1479-1552
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase,2635-2707
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat-containing N-terminal,379-493
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Serine/threonine-protein kinase,2986-3022
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat domain superfamily,1879-2092
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat domain superfamily,2095-2380
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,796-868
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1735-1807
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1954-2026
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1522-1591
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1447-1519
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1810-1879
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1159-1231
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,2173-2242
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,649-721
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase domain,2617-3134
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase domain,3239-3553
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat domain superfamily,376-1219
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase domain,2617-3134
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase domain,3239-3544
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1855-1993
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat,1453-1627
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat domain superfamily,1570-1876
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Leucine-rich repeat domain superfamily,1249-1567
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase domain,2629-3134
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase domain,3239-3532
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase-like domain superfamily,2581-3134
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.1,33585286-33589376,Protein kinase-like domain superfamily,3239-3544
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase domain,621-1138
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase domain,1243-1557
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Serine/threonine-protein kinase,990-1026
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Leucine-rich repeat domain superfamily,156-384
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase-like domain superfamily,585-1138
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase-like domain superfamily,1243-1548
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase domain,621-1138
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase domain,1243-1548
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase,639-711
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase domain,633-1138
BaRT2v18chr3HG123020,BaRT2v18chr3HG123020.2,33587282-33589375,Protein kinase domain,1243-1536
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,1441-1460
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,1645-1690
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,1773-1883
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,3476-3542
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,3951-4041
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,4252-4312
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,4401-4522
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,4624-4741
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase Pus3-like,4887-4994
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4312-4312
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4401-4522
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4624-4741
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4887-5010
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,5488-5586
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,123-135
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,227-289
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,797-940
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1138-1204
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1388-1460
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1645-1690
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1773-1883
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,3476-3542
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,3951-4041
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4252-4312
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4401-4522
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4624-4741
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4887-5010
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,5488-5589
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,5665-5733
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,5993-6045
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1432-1460
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1645-1690
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,1773-1883
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,3476-3542
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,3951-4041
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4252-4312
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4401-4522
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4624-4741
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4887-4970
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4416-4522
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4624-4741
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase I,4887-4997
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,1426-1460
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,1645-1690
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,1773-1883
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,3476-3542
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,3951-4041
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,4252-4312
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,4401-4522
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,4624-4741
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,4887-5010
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.1,33237821-33244358,Pseudouridine synthase,5488-5499
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4415-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4886-4996
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4293-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4886-5009
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,5487-5585
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,1425-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,3950-4040
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,4251-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,4886-5009
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase,5487-5498
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,1440-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,3950-4040
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,4251-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase Pus3-like,4886-4993
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,122-134
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,226-288
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,796-933
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1137-1203
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1387-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,3950-4040
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4251-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4886-5009
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,5487-5588
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,5664-5732
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,5992-6044
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1431-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,3950-4040
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4251-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.2,33237822-33244410,Pseudouridine synthase I,4886-4969
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1431-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,3950-4040
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4251-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4890-4898
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,122-134
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,226-288
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,796-939
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1137-1203
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1387-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,3950-4040
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4251-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4890-4907
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4415-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4890-4901
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4266-4311
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4391-4521
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4623-4740
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase I,4890-4928
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase,1425-1459
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase,1644-1689
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase,1772-1882
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase,3475-3541
BaRT2v18chr3HG122920,BaRT2v18chr3HG122920.3,33237822-33244415,Pseudouridine synthase,3950-4040
