gene,transcript,transcript_coordinates,type,coordinates
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.5,33574180-33580954,3' utr,6609-6775
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,1-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,2266-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,exon,6609-6775
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,184-1478
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,1585-1670
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,1810-2265
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,2323-2422
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,2573-2712
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,2968-3510
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,3720-4365
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,4591-4990
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,5153-5391
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,intron,5468-6608
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,5' utr,1-94
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,coding_region,95-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,coding_region,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,coding_region,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,coding_region,2266-2267
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,2268-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.6,33574180-33580954,3' utr,6609-6775
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,1-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,1671-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,exon,6609-6802
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,184-1478
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,1585-1670
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,2323-2422
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,2573-2712
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,2968-3510
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,3720-4365
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,4591-4990
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,5153-5391
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,intron,5468-6608
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,5' utr,1-94
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,coding_region,95-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,coding_region,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,coding_region,1671-1823
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,1824-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.7,33574180-33580981,3' utr,6609-6802
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,1-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,1671-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,exon,6609-6756
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,184-1478
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,1585-1670
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,2323-2422
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,2573-2712
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,2968-3510
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,3720-4365
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,4591-5391
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,intron,5468-6608
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,5' utr,1-94
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,coding_region,95-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,coding_region,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,coding_region,1671-1823
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,1824-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.8,33574180-33580935,3' utr,6609-6756
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,1-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,2095-2137
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,2231-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,2713-2951
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,exon,6609-6791
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,184-1478
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,1585-1670
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,1810-2094
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,2138-2230
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,2323-2422
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,2573-2712
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,2952-3510
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,3720-4365
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,4591-4990
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,5153-5391
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,intron,5468-6608
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,5' utr,1-94
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,95-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,2095-2137
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,2231-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,2713-2951
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,coding_region,3511-3528
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,3' utr,3529-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,3' utr,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,3' utr,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,3' utr,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.9,33574180-33580970,3' utr,6609-6791
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,exon,1-425
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,exon,515-630
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,exon,768-980
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,exon,2830-3277
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,intron,426-514
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,intron,631-767
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,intron,981-2829
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,5' utr,1-1
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,coding_region,2-425
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,coding_region,515-630
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,coding_region,768-806
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,3' utr,807-980
BaRT2v18chr3HG123490,BaRT2v18chr3HG123490.1,36856183-36859459,3' utr,2830-3277
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.1,33164844-33166254,exon,1-1411
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.1,33164844-33166254,5' utr,1-320
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.1,33164844-33166254,coding_region,321-1055
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.1,33164844-33166254,3' utr,1056-1411
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.2,33165342-33166061,exon,1-720
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.2,33165342-33166061,5' utr,1-14
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.2,33165342-33166061,coding_region,15-557
BaRT2v18chr3HG122890,BaRT2v18chr3HG122890.2,33165342-33166061,3' utr,558-720
BaRT2v18chr3HG123450,BaRT2v18chr3HG123450.1,36436893-36437232,exon,1-84
BaRT2v18chr3HG123450,BaRT2v18chr3HG123450.1,36436893-36437232,exon,175-340
BaRT2v18chr3HG123450,BaRT2v18chr3HG123450.1,36436893-36437232,intron,85-174
BaRT2v18chr3HG123450,BaRT2v18chr3HG123450.1,36436893-36437232,5' utr,1-84
BaRT2v18chr3HG123450,BaRT2v18chr3HG123450.1,36436893-36437232,5' utr,175-198
BaRT2v18chr3HG123450,BaRT2v18chr3HG123450.1,36436893-36437232,coding_region,199-340
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,exon,1-512
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,exon,657-713
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,exon,884-936
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,exon,1048-1099
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,exon,1252-2820
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,exon,2914-3358
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,intron,513-656
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,intron,714-883
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,intron,937-1047
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,intron,1100-1251
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,intron,2821-2913
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,5' utr,1-512
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,5' utr,657-713
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,5' utr,884-936
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,5' utr,1048-1099
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,5' utr,1252-2056
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,coding_region,2057-2173
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,3' utr,2174-2820
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.1,34748338-34751695,3' utr,2914-3358
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,exon,1-56
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,exon,197-441
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,exon,586-700
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,exon,813-865
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,exon,977-1028
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,exon,1181-2549
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,intron,57-196
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,intron,442-585
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,intron,701-812
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,intron,866-976
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,intron,1029-1180
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,5' utr,1-56
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,5' utr,197-441
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,5' utr,586-700
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,5' utr,813-865
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,5' utr,977-1028
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,5' utr,1181-1985
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,coding_region,1986-2102
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.10,34748409-34750957,3' utr,2103-2549
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,1-318
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,463-599
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,690-742
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,854-905
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,1058-1936
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,2492-2612
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,exon,2723-3067
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,intron,319-462
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,intron,600-689
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,intron,743-853
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,intron,906-1057
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,intron,1937-2491
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,intron,2613-2722
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,5' utr,1-318
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,5' utr,463-599
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,5' utr,690-742
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,5' utr,854-905
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,5' utr,1058-1862
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,coding_region,1863-1936
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,coding_region,2492-2612
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,coding_region,2723-2944
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.11,34748532-34751598,3' utr,2945-3067
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,1-315
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,460-596
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,687-739
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,851-902
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,1055-1933
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,2489-2609
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,exon,2720-3172
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,intron,316-459
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,intron,597-686
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,intron,740-850
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,intron,903-1054
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,intron,1934-2488
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,intron,2610-2719
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,5' utr,1-315
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,5' utr,460-596
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,5' utr,687-739
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,5' utr,851-902
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,5' utr,1055-1859
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,coding_region,1860-1933
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,coding_region,2489-2609
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,coding_region,2720-2941
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.12,34748535-34751706,3' utr,2942-3172
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,1-315
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,460-596
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,687-739
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,851-902
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,1055-1933
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,2489-2623
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,exon,2720-3234
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,intron,316-459
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,intron,597-686
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,intron,740-850
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,intron,903-1054
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,intron,1934-2488
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,intron,2624-2719
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,5' utr,1-315
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,5' utr,460-596
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,5' utr,687-739
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,5' utr,851-902
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,5' utr,1055-1859
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,coding_region,1860-1933
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,coding_region,2489-2623
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.13,34748535-34751768,3' utr,2721-3234
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,exon,1-306
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,exon,451-587
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,exon,678-730
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,exon,842-893
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,exon,1046-2614
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,exon,2708-3225
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,intron,307-450
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,intron,588-677
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,intron,731-841
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,intron,894-1045
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,intron,2615-2707
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,5' utr,1-306
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,5' utr,451-587
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,5' utr,678-730
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,5' utr,842-893
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,5' utr,1046-1850
BaRT2v18chr3HG123110,BaRT2v18chr3HG123110.14,34748544-34751768,coding_region,1851-1967
